Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
England,lost,South Africa,won,2nd,South Africa,Johannesburg,13-Feb-00,South Africa,Away,Home,2nd,first,won,38 runs,lost,green/fast/ bouncy,1stinningwinner,fast/high bounce
Sri Lanka,won,Sri Lanka,lost,first,Pakistan,Gujranwala,16-Feb-00,Pakistan,Away,Home,first,2nd,lost,34 runs,won,flat/dead,1stinningwinner, flat/dead
England,won,England,lost,2nd,Zimbabwe,Bulawayo,16-Feb-00,Zimbabwe,Away,Home,2nd,first,lost,5 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,England,won,first,England,Bulawayo,16-Feb-00,Zimbabwe,Home,Away,first,2nd,won,5 wickets,lost,slow/low,2ndinningwinner,slow/dusty
England,won,England,won,2nd,Zimbabwe,Bulawayo,18-Feb-00,Zimbabwe,Away,Home,2nd,first,won,1 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,England,lost,first,England,Bulawayo,18-Feb-00,Zimbabwe,Home,Away,first,2nd,lost,1 wickets,won,slow/low,2ndinningwinner,slow/dusty
Australia,won,Australia,lost,2nd,New Zealand,Auckland,19-Feb-00,New Zealand,Away,Home,2nd,first,lost,5 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,won,first,Australia,Auckland,19-Feb-00,New Zealand,Home,Away,first,2nd,won,5 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Sri Lanka,won,Sri Lanka,lost,first,Pakistan,Lahore,19-Feb-00,Pakistan,Away,Home,first,2nd,lost,104 runs,won,flat/dead,1stinningwinner, flat/dead
England,won,England,lost,first,Zimbabwe,Harare,20-Feb-00,Zimbabwe,Away,Home,first,2nd,lost,85 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,England,won,2nd,England,Harare,20-Feb-00,Zimbabwe,Home,Away,2nd,first,won,85 runs,lost,slow/low,1stinningwinner,slow/dusty
Australia,won,Australia,lost,first,New Zealand,Dunedin,23-Feb-00,New Zealand,Away,Home,first,2nd,lost,50 runs,won,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,won,2nd,Australia,Dunedin,23-Feb-00,New Zealand,Home,Away,2nd,first,won,50 runs,lost,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
