Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
Australia,won,Australia,lost,first,England,Hobart,21-Jan-11,Australia,Home,Away,first,2nd,lost,46 runs,won, fast/bouncy,1stinningwinner,fast/ high bounce
England,lost,Australia,won,2nd,Australia,Hobart,21-Jan-11,Australia,Away,Home,2nd,first,won,46 runs,lost, fast/bouncy,1stinningwinner,fast/ high bounce
South Africa,won,South Africa,won,first,India,Port Elizabeth,21-Jan-11,South Africa,Home,Away,first,2nd,won,48 runs,lost,fast/ low bounce,1stinningwinner,fast/high bounce
India,lost,South Africa,lost,2nd,South Africa,Port Elizabeth,21-Jan-11,South Africa,Away,Home,2nd,first,lost,48 runs,won,fast/ low bounce,1stinningwinner,fast/high bounce
New Zealand,won,New Zealand,lost,2nd,Pakistan,Wellington,22-Jan-11,New Zealand,Home,Away,2nd,first,lost,9 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,2nd,England,Sydney,23-Jan-11,Australia,Home,Away,2nd,first,lost,4 wickets,won,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
England,lost,Australia,won,first,Australia,Sydney,23-Jan-11,Australia,Away,Home,first,2nd,won,4 wickets,lost,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
South Africa,won,South Africa,lost,first,India,Centurion,23-Jan-11,South Africa,Home,Away,first,2nd,lost,33 runs,won,fast/green/low bounce,1stinningwinner,fast/high bounce
India,lost,South Africa,won,2nd,South Africa,Centurion,23-Jan-11,South Africa,Away,Home,2nd,first,won,33 runs,lost,fast/green/low bounce,1stinningwinner,fast/high bounce
England,won,England,won,first,Australia,Adelaide,26-Jan-11,Australia,Away,Home,first,2nd,won,21 runs,lost, fast/dusty/dry,1stinningwinner,fast/ high bounce
Australia,lost,England,lost,2nd,England,Adelaide,26-Jan-11,Australia,Home,Away,2nd,first,lost,21 runs,won, fast/dusty/dry,1stinningwinner,fast/ high bounce
New Zealand,lost,Pakistan,won,2nd,Pakistan,Christchurch,29-Jan-11,New Zealand,Home,Away,2nd,first,won,43 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,England,Brisbane,30-Jan-11,Australia,Home,Away,first,2nd,won,51 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
England,lost,Australia,lost,2nd,Australia,Brisbane,30-Jan-11,Australia,Away,Home,2nd,first,lost,51 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
New Zealand,lost,Pakistan,won,first,Pakistan,Napier,1-Feb-11,New Zealand,Home,Away,first,2nd,won,2 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,2nd,England,Sydney,2-Feb-11,Australia,Home,Away,2nd,first,lost,2 wickets,won,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
England,lost,Australia,won,first,Australia,Sydney,2-Feb-11,Australia,Away,Home,first,2nd,won,2 wickets,lost,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
New Zealand,lost,Pakistan,won,2nd,Pakistan,Hamilton,3-Feb-11,New Zealand,Home,Away,2nd,first,won,41 runs,lost,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
Sri Lanka,won,Sri Lanka,won,2nd,West Indies,Colombo (SSC),3-Feb-11,Sri Lanka,Home,Away,2nd,first,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,dry/dusty
West Indies,lost,Sri Lanka,lost,first,Sri Lanka,Colombo (SSC),3-Feb-11,Sri Lanka,Away,Home,first,2nd,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,dry/dusty
New Zealand,won,New Zealand,lost,first,Pakistan,Auckland,5-Feb-11,New Zealand,Home,Away,first,2nd,lost,57 runs,won,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,England,Perth,6-Feb-11,Australia,Home,Away,first,2nd,won,57 runs,lost,fast/bouncy,1stinningwinner,fast/ high bounce
England,lost,Australia,lost,2nd,Australia,Perth,6-Feb-11,Australia,Away,Home,2nd,first,lost,57 runs,won,fast/bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,lost,first,West Indies,Colombo (SSC),6-Feb-11,Sri Lanka,Home,Away,first,2nd,lost,26 runs,won,slow/low/dusty,1stinningwinner,dry/dusty
West Indies,lost,Sri Lanka,won,2nd,Sri Lanka,Colombo (SSC),6-Feb-11,Sri Lanka,Away,Home,2nd,first,won,26 runs,lost,slow/low/dusty,1stinningwinner,dry/dusty
India,won,India,lost,first,Bangladesh,Dhaka,19-Feb-11,Bangladesh,Away,Home,first,2nd,lost,87 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,lost,India,won,2nd,India,Dhaka,19-Feb-11,Bangladesh,Home,Away,2nd,first,won,87 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Australia,won,Australia,won,first,Zimbabwe,Ahmedabad,21-Feb-11,India,Neutral,Neutral,first,2nd,won,91 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
Zimbabwe,lost,Australia,lost,2nd,Australia,Ahmedabad,21-Feb-11,India,Neutral,Neutral,2nd,first,lost,91 runs,won,slow/dead/flat,1stinningwinner,flat/dead
England,won,England,lost,2nd, Netherlands,Nagpur,22-Feb-11,India,Neutral,Neutral,2nd,first,lost,6 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
Netherlands,lost,England,won,first,England,Nagpur,22-Feb-11,India,Neutral,Neutral,first,2nd,won,6 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,2nd,West Indies,Delhi,24-Feb-11,India,Neutral,Neutral,2nd,first,won,7 wickets,lost,flat/dead/dry,2ndinningwinner,flat/dead
West Indies,lost,South Africa,lost,first,South Africa,Delhi,24-Feb-11,India,Neutral,Neutral,first,2nd,lost,7 wickets,won,flat/dead/dry,2ndinningwinner,flat/dead
Australia,won,Australia,won,2nd,New Zealand,Nagpur,25-Feb-11,India,Neutral,Neutral,2nd,first,won,7 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
New Zealand,lost,Australia,lost,first,Australia,Nagpur,25-Feb-11,India,Neutral,Neutral,first,2nd,lost,7 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
Bangladesh,won,Bangladesh,won,first,Ireland,Dhaka,25-Feb-11,Bangladesh,Home,Away,first,2nd,won,27 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Ireland,lost,Bangladesh,lost,2nd,Bangladesh,Dhaka,25-Feb-11,Bangladesh,Away,Home,2nd,first,lost,27 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Sri Lanka,lost,Pakistan,lost,2nd,Pakistan,Colombo (RPS),26-Feb-11,Sri Lanka,Home,Away,2nd,first,lost,11 runs,won,dry/dusty,1stinningwinner,dry/dusty
West Indies,won,West Indies,lost,first, Netherlands,Delhi,28-Feb-11,India,Neutral,Neutral,first,2nd,lost,215 runs,won,flat/dead/dry,1stinningwinner,flat/dead
Netherlands,lost,West Indies,won,2nd,West Indies,Delhi,28-Feb-11,India,Neutral,Neutral,2nd,first,won,215 runs,lost,flat/dead/dry,1stinningwinner,flat/dead
Ireland,won,Ireland,lost,2nd,England,Bengaluru,2-Mar-11,India,Neutral,Neutral,2nd,first,lost,3 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
England,lost,Ireland,won,first,Ireland,Bengaluru,2-Mar-11,India,Neutral,Neutral,first,2nd,won,3 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
South Africa,won,South Africa,lost,first, Netherlands,Mohali,3-Mar-11,India,Neutral,Neutral,first,2nd,lost,231 runs,won,flat/dead/bouncy,1stinningwinner,flat/dead
Netherlands,lost,South Africa,won,2nd,South Africa,Mohali,3-Mar-11,India,Neutral,Neutral,2nd,first,won,231 runs,lost,flat/dead/bouncy,1stinningwinner,flat/dead
New Zealand,won,New Zealand,lost,2nd,Zimbabwe,Ahmedabad,4-Mar-11,India,Neutral,Neutral,2nd,first,lost,10 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Zimbabwe,lost,New Zealand,won,first,New Zealand,Ahmedabad,4-Mar-11,India,Neutral,Neutral,first,2nd,won,10 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
West Indies,won,West Indies,lost,2nd,Bangladesh,Dhaka,4-Mar-11,Bangladesh,Away,Home,2nd,first,lost,9 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,West Indies,won,first,West Indies,Dhaka,4-Mar-11,Bangladesh,Home,Away,first,2nd,won,9 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
England,won,England,won,first,South Africa,Chennai,6-Mar-11,India,Neutral,Neutral,first,2nd,won,6 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
South Africa,lost,England,lost,2nd,England,Chennai,6-Mar-11,India,Neutral,Neutral,2nd,first,lost,6 runs,won,slow/dead/flat,1stinningwinner,flat/dead
India,won,India,won,2nd,Ireland,Bengaluru,6-Mar-11,India,Home,Away,2nd,first,won,5 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
Ireland,lost,India,lost,first,India,Bengaluru,6-Mar-11,India,Away,Home,first,2nd,lost,5 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
New Zealand,won,New Zealand,won,first,Pakistan,Pallekele,8-Mar-11,Sri Lanka,Neutral,Neutral,first,2nd,won,110 runs,lost,dry/dusty,1stinningwinner,dry/dusty
India,won,India,lost,2nd, Netherlands,Delhi,9-Mar-11,India,Home,Away,2nd,first,lost,5 wickets,won,flat/dead/dry,2ndinningwinner,flat/dead
Netherlands,lost,India,won,first,India,Delhi,9-Mar-11,India,Away,Home,first,2nd,won,5 wickets,lost,flat/dead/dry,2ndinningwinner,flat/dead
Sri Lanka,won,Sri Lanka,lost,first,Zimbabwe,Pallekele,10-Mar-11,Sri Lanka,Home,Away,first,2nd,lost,139 runs,won,dry/dusty,1stinningwinner,dry/dusty
Zimbabwe,lost,Sri Lanka,won,2nd,Sri Lanka,Pallekele,10-Mar-11,Sri Lanka,Away,Home,2nd,first,won,139 runs,lost,dry/dusty,1stinningwinner,dry/dusty
West Indies,won,West Indies,lost,first,Ireland,Mohali,11-Mar-11,India,Neutral,Neutral,first,2nd,lost,44 runs,won,flat/dead/bouncy,1stinningwinner,flat/dead
Ireland,lost,West Indies,won,2nd,West Indies,Mohali,11-Mar-11,India,Neutral,Neutral,2nd,first,won,44 runs,lost,flat/dead/bouncy,1stinningwinner,flat/dead
Bangladesh,won,Bangladesh,won,2nd,England,Chattogram,11-Mar-11,Bangladesh,Home,Away,2nd,first,won,2 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
England,lost,Bangladesh,lost,first,Bangladesh,Chattogram,11-Mar-11,Bangladesh,Away,Home,first,2nd,lost,2 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
South Africa,won,South Africa,lost,2nd,India,Nagpur,12-Mar-11,India,Away,Home,2nd,first,lost,3 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
India,lost,South Africa,won,first,South Africa,Nagpur,12-Mar-11,India,Home,Away,first,2nd,won,3 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
Bangladesh,won,Bangladesh,lost,2nd, Netherlands,Chattogram,14-Mar-11,Bangladesh,Home,Away,2nd,first,lost,6 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
Netherlands,lost,Bangladesh,won,first,Bangladesh,Chattogram,14-Mar-11,Bangladesh,Away,Home,first,2nd,won,6 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
Zimbabwe,lost,Pakistan,won,first,Pakistan,Pallekele,14-Mar-11,Sri Lanka,Neutral,Neutral,first,2nd,won,7 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
South Africa,won,South Africa,lost,first,Ireland,Kolkata,15-Mar-11,India,Neutral,Neutral,first,2nd,lost,131 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Ireland,lost,South Africa,won,2nd,South Africa,Kolkata,15-Mar-11,India,Neutral,Neutral,2nd,first,won,131 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
England,won,England,won,first,West Indies,Chennai,17-Mar-11,India,Neutral,Neutral,first,2nd,won,18 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
West Indies,lost,England,lost,2nd,England,Chennai,17-Mar-11,India,Neutral,Neutral,2nd,first,lost,18 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Ireland,won,Ireland,won,2nd, Netherlands,Kolkata,18-Mar-11,India,Neutral,Neutral,2nd,first,won,6 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
Netherlands,lost,Ireland,lost,first,Ireland,Kolkata,18-Mar-11,India,Neutral,Neutral,first,2nd,lost,6 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Sri Lanka,won,Sri Lanka,won,first,New Zealand,Mumbai,18-Mar-11,India,Neutral,Neutral,first,2nd,won,112 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
New Zealand,lost,Sri Lanka,lost,2nd,Sri Lanka,Mumbai,18-Mar-11,India,Neutral,Neutral,2nd,first,lost,112 runs,won,slow/dead/flat,1stinningwinner,flat/dead
South Africa,won,South Africa,won,first,Bangladesh,Dhaka,19-Mar-11,Bangladesh,Away,Home,first,2nd,won,206 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,lost,South Africa,lost,2nd,South Africa,Dhaka,19-Mar-11,Bangladesh,Home,Away,2nd,first,lost,206 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Australia,lost,Pakistan,won,first,Pakistan,Colombo (RPS),19-Mar-11,Sri Lanka,Neutral,Neutral,first,2nd,won,4 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
India,won,India,won,first,West Indies,Chennai,20-Mar-11,India,Home,Away,first,2nd,won,80 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
West Indies,lost,India,lost,2nd,India,Chennai,20-Mar-11,India,Away,Home,2nd,first,lost,80 runs,won,slow/dead/flat,1stinningwinner,flat/dead
West Indies,lost,Pakistan,won,first,Pakistan,Dhaka,23-Mar-11,Bangladesh,Neutral,Neutral,first,2nd,won,10 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,lost,2nd,Australia,Ahmedabad,24-Mar-11,India,Home,Away,2nd,first,lost,5 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Australia,lost,India,won,first,India,Ahmedabad,24-Mar-11,India,Away,Home,first,2nd,won,5 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
New Zealand,won,New Zealand,won,first,South Africa,Dhaka,25-Mar-11,Bangladesh,Neutral,Neutral,first,2nd,won,49 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
South Africa,lost,New Zealand,lost,2nd,New Zealand,Dhaka,25-Mar-11,Bangladesh,Neutral,Neutral,2nd,first,lost,49 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,lost,2nd,England,Colombo (RPS),26-Mar-11,Sri Lanka,Home,Away,2nd,first,lost,10 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
England,lost,Sri Lanka,won,first,Sri Lanka,Colombo (RPS),26-Mar-11,Sri Lanka,Away,Home,first,2nd,won,10 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,lost,2nd,New Zealand,Colombo (RPS),29-Mar-11,Sri Lanka,Home,Away,2nd,first,lost,5 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
New Zealand,lost,Sri Lanka,won,first,Sri Lanka,Colombo (RPS),29-Mar-11,Sri Lanka,Away,Home,first,2nd,won,5 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
India,won,India,won,first,Pakistan,Mohali,30-Mar-11,India,Home,Away,first,2nd,won,29 runs,lost,flat/dead/bouncy,1stinningwinner,flat/dead
India,won,India,lost,2nd,Sri Lanka,Mumbai,2-Apr-11,India,Home,Away,2nd,first,lost,6 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Sri Lanka,lost,India,won,first,India,Mumbai,2-Apr-11,India,Away,Home,first,2nd,won,6 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
Australia,won,Australia,lost,first,Bangladesh,Dhaka,9-Apr-11,Bangladesh,Away,Home,first,2nd,lost,60 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,lost,Australia,won,2nd,Australia,Dhaka,9-Apr-11,Bangladesh,Home,Away,2nd,first,won,60 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Australia,won,Australia,lost,2nd,Bangladesh,Dhaka,11-Apr-11,Bangladesh,Away,Home,2nd,first,lost,9 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,Australia,won,first,Australia,Dhaka,11-Apr-11,Bangladesh,Home,Away,first,2nd,won,9 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Australia,won,Australia,won,first,Bangladesh,Dhaka,13-Apr-11,Bangladesh,Away,Home,first,2nd,won,66 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,lost,Australia,lost,2nd,Australia,Dhaka,13-Apr-11,Bangladesh,Home,Away,2nd,first,lost,66 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Pakistan,won,first,Pakistan,Gros Islet,23-Apr-11,West Indies,Home,Away,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,Pakistan,lost,first,Pakistan,Gros Islet,25-Apr-11,West Indies,Home,Away,first,2nd,lost,7 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,Pakistan,lost,first,Pakistan,Bridgetown,28-Apr-11,West Indies,Home,Away,first,2nd,lost,3 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,won,West Indies,won,2nd,Pakistan,Bridgetown,2-May-11,West Indies,Home,Away,2nd,first,won,1 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,won,West Indies,lost,2nd,Pakistan,Providence,5-May-11,West Indies,Home,Away,2nd,first,lost,10 wickets,won, slow/low/dusty ,2ndinningwinner,slow/dusty
Ireland,lost,Pakistan,lost,first,Pakistan,Belfast,28-May-11,Ireland,Home,Away,first,2nd,lost,7 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy
Ireland,lost,Pakistan,won,first,Pakistan,Belfast,30-May-11,Ireland,Home,Away,first,2nd,won,5 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy
India,won,India,lost,2nd,West Indies,Port of Spain,6-Jun-11,West Indies,Away,Home,2nd,first,lost,4 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,India,won,first,India,Port of Spain,6-Jun-11,West Indies,Home,Away,first,2nd,won,4 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,won,2nd,West Indies,Port of Spain,8-Jun-11,West Indies,Away,Home,2nd,first,won,7 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,lost,India,lost,first,India,Port of Spain,8-Jun-11,West Indies,Home,Away,first,2nd,lost,7 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,won,2nd,West Indies,North Sound,11-Jun-11,West Indies,Away,Home,2nd,first,won,3 wickets,lost, slow/low/dusty ,2ndinningwinner,slow/dusty
West Indies,lost,India,lost,first,India,North Sound,11-Jun-11,West Indies,Home,Away,first,2nd,lost,3 wickets,won, slow/low/dusty ,2ndinningwinner,slow/dusty
West Indies,won,West Indies,lost,first,India,North Sound,13-Jun-11,West Indies,Home,Away,first,2nd,lost,103 runs,won, slow/low/dusty ,1stinningwinner,slow/dusty
India,lost,West Indies,won,2nd,West Indies,North Sound,13-Jun-11,West Indies,Away,Home,2nd,first,won,103 runs,lost, slow/low/dusty ,1stinningwinner,slow/dusty
West Indies,won,West Indies,won,2nd,India,Kingston,16-Jun-11,West Indies,Home,Away,2nd,first,won,7 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,lost,West Indies,lost,first,West Indies,Kingston,16-Jun-11,West Indies,Away,Home,first,2nd,lost,7 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
England,won,England,lost,first,Sri Lanka,The Oval,28-Jun-11,England,Home,Away,first,2nd,lost,110 runs,won,green/bouncy,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,lost,England,won,2nd,England,The Oval,28-Jun-11,England,Away,Home,2nd,first,won,110 runs,lost,green/bouncy,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,lost,first,England,Leeds,1-Jul-11,England,Away,Home,first,2nd,lost,69 runs,won, fast/green,1stinningwinner,fast/green/bouncy/swing
England,lost,Sri Lanka,won,2nd,Sri Lanka,Leeds,1-Jul-11,England,Home,Away,2nd,first,won,69 runs,lost, fast/green,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,lost,2nd,England,Lords,3-Jul-11,England,Away,Home,2nd,first,lost,6 wickets,won,green,2ndinningwinner,fast/green/bouncy/swing
England,lost,Sri Lanka,won,first,Sri Lanka,Lords,3-Jul-11,England,Home,Away,first,2nd,won,6 wickets,lost,green,2ndinningwinner,fast/green/bouncy/swing
England,won,England,won,2nd,Sri Lanka,Nottingham,6-Jul-11,England,Home,Away,2nd,first,won,10 wickets,lost, fast/green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Sri Lanka,lost,England,lost,first,England,Nottingham,6-Jul-11,England,Away,Home,first,2nd,lost,10 wickets,won, fast/green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,won,first,Sri Lanka,Manchester,9-Jul-11,England,Home,Away,first,2nd,won,16 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,lost,England,lost,2nd,England,Manchester,9-Jul-11,England,Away,Home,2nd,first,lost,16 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy/swing
Australia,won,Australia,lost,2nd,Sri Lanka,Pallekele,10-Aug-11,Sri Lanka,Away,Home,2nd,first,lost,7 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,lost,Australia,won,first,Australia,Pallekele,10-Aug-11,Sri Lanka,Home,Away,first,2nd,won,7 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Zimbabwe,won,Zimbabwe,won,2nd,Bangladesh,Harare,12-Aug-11,Zimbabwe,Home,Away,2nd,first,won,4 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Bangladesh,lost,Zimbabwe,lost,first,Zimbabwe,Harare,12-Aug-11,Zimbabwe,Away,Home,first,2nd,lost,4 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,won,Zimbabwe,won,2nd,Bangladesh,Harare,14-Aug-11,Zimbabwe,Home,Away,2nd,first,won,7 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Bangladesh,lost,Zimbabwe,lost,first,Zimbabwe,Harare,14-Aug-11,Zimbabwe,Away,Home,first,2nd,lost,7 wickets,won,slow/low,2ndinningwinner,slow/dusty
Australia,won,Australia,lost,2nd,Sri Lanka,Hambantota,14-Aug-11,Sri Lanka,Away,Home,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,dry/dusty
Sri Lanka,lost,Australia,won,first,Australia,Hambantota,14-Aug-11,Sri Lanka,Home,Away,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,dry/dusty
Zimbabwe,won,Zimbabwe,lost,first,Bangladesh,Harare,16-Aug-11,Zimbabwe,Home,Away,first,2nd,lost,5 runs,won,slow/low,1stinningwinner,slow/dusty
Bangladesh,lost,Zimbabwe,won,2nd,Zimbabwe,Harare,16-Aug-11,Zimbabwe,Away,Home,2nd,first,won,5 runs,lost,slow/low,1stinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,lost,first,Australia,Hambantota,16-Aug-11,Sri Lanka,Home,Away,first,2nd,lost,78 runs,won,slow/low/dusty,1stinningwinner,dry/dusty
Australia,lost,Sri Lanka,won,2nd,Sri Lanka,Hambantota,16-Aug-11,Sri Lanka,Away,Home,2nd,first,won,78 runs,lost,slow/low/dusty,1stinningwinner,dry/dusty
Bangladesh,won,Bangladesh,won,2nd,Zimbabwe,Bulawayo,19-Aug-11,Zimbabwe,Away,Home,2nd,first,won,6 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,Bangladesh,lost,first,Bangladesh,Bulawayo,19-Aug-11,Zimbabwe,Home,Away,first,2nd,lost,6 wickets,won,slow/low,2ndinningwinner,slow/dusty
Australia,won,Australia,lost,2nd,Sri Lanka,Colombo (RPS),20-Aug-11,Sri Lanka,Away,Home,2nd,first,lost,5 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,lost,Australia,won,first,Australia,Colombo (RPS),20-Aug-11,Sri Lanka,Home,Away,first,2nd,won,5 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Bangladesh,won,Bangladesh,lost,first,Zimbabwe,Bulawayo,21-Aug-11,Zimbabwe,Away,Home,first,2nd,lost,93 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,Bangladesh,won,2nd,Bangladesh,Bulawayo,21-Aug-11,Zimbabwe,Home,Away,2nd,first,won,93 runs,lost,slow/low,1stinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,won,2nd,Australia,Colombo (RPS),22-Aug-11,Sri Lanka,Home,Away,2nd,first,won,4 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Australia,lost,Sri Lanka,lost,first,Sri Lanka,Colombo (RPS),22-Aug-11,Sri Lanka,Away,Home,first,2nd,lost,4 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
England,won,England,lost,first,Ireland,Dublin,25-Aug-11,Ireland,Away,Home,first,2nd,lost,11 runs,won, fast/green/bouncy,1stinningwinner,fast/green/bouncy
Ireland,lost,England,won,2nd,England,Dublin,25-Aug-11,Ireland,Home,Away,2nd,first,won,11 runs,lost, fast/green/bouncy,1stinningwinner,fast/green/bouncy
England,won,England,won,2nd,India,Southampton,6-Sep-11,England,Home,Away,2nd,first,won,7 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
India,lost,England,lost,first,England,Southampton,6-Sep-11,England,Away,Home,first,2nd,lost,7 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Zimbabwe,lost,Pakistan,lost,2nd,Pakistan,Bulawayo,8-Sep-11,Zimbabwe,Home,Away,2nd,first,lost,5 runs,won,slow/low,1stinningwinner,slow/dusty
England,won,England,won,2nd,India,The Oval,9-Sep-11,England,Home,Away,2nd,first,won,3 wickets,lost,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
India,lost,England,lost,first,England,The Oval,9-Sep-11,England,Away,Home,first,2nd,lost,3 wickets,won,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Zimbabwe,lost,Pakistan,won,first,Pakistan,Harare,11-Sep-11,Zimbabwe,Home,Away,first,2nd,won,10 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,Pakistan,won,2nd,Pakistan,Harare,14-Sep-11,Zimbabwe,Home,Away,2nd,first,won,28 runs,lost,slow/low,1stinningwinner,slow/dusty
England,won,England,won,2nd,India,Cardiff,16-Sep-11,England,Home,Away,2nd,first,won,6 wickets,lost, fast/green,2ndinningwinner,fast/green/bouncy/swing
