Team1,Team2,Ground,Toss,Bat,Winner
Pakistan, Afghanistan,Sharjah,loss,2nd,Pakistan
Pakistan, Sri Lanka,Dubai (DSC),win,2nd,Pakistan
Sri Lanka, Pakistan,Dubai (DSC),loss,first,Sri Lanka
New Zealand, West Indies,Auckland,win,first,New Zealand
New Zealand, West Indies,Wellington,loss,2nd,New Zealand
Australia, England,Hobart,win,first,Australia
Australia, England,Melbourne,loss,2nd,Australia
Australia, England,Sydney,win,first,Australia
Sri Lanka, Bangladesh,Chattogram,loss,first,Sri Lanka
Sri Lanka, Bangladesh,Chattogram,loss,2nd,Sri Lanka
Ireland, West Indies,Kingston,loss,2nd,Ireland
West Indies, Ireland,Kingston,loss,first,West Indies
West Indies, England,Bridgetown,win,first,West Indies
West Indies, England,Bridgetown,loss,2nd,West Indies
Australia, South Africa,Durban,win,2nd,Australia
England, West Indies,Bridgetown,win,first,England
Australia, South Africa,Centurion,win,2nd,Australia
Bangladesh, Afghanistan,Dhaka,win,2nd,Bangladesh
Nepal, Hong Kong,Chattogram,loss,first,Nepal
Ireland, Zimbabwe,Sylhet,win,2nd,Ireland
Netherlands, U.A.E.,Sylhet,loss,2nd,Netherlands
Afghanistan, Hong Kong,Chattogram,loss,2nd,Afghanistan
Bangladesh, Nepal,Chattogram,win,2nd,Bangladesh
Zimbabwe, Netherlands,Sylhet,loss,2nd,Zimbabwe
Ireland, U.A.E.,Sylhet,win,2nd,Ireland
Nepal, Afghanistan,Chattogram,loss,first,Nepal
Hong Kong, Bangladesh,Chattogram,win,2nd,Hong Kong
Zimbabwe, U.A.E.,Sylhet,win,2nd,Zimbabwe
Netherlands, Ireland,Sylhet,win,2nd,Netherlands
India, Pakistan,Dhaka,win,2nd,India
Sri Lanka, South Africa,Chattogram,win,first,Sri Lanka
New Zealand, England,Chattogram,win,2nd,New Zealand
Pakistan, Australia,Dhaka,loss,first,Pakistan
India, West Indies,Dhaka,win,2nd,India
South Africa, New Zealand,Chattogram,loss,first,South Africa
Sri Lanka, Netherlands,Chattogram,win,2nd,Sri Lanka
West Indies, Bangladesh,Dhaka,loss,first,West Indies
South Africa, Netherlands,Chattogram,loss,first,South Africa
England, Sri Lanka,Chattogram,win,2nd,England
West Indies, Australia,Dhaka,loss,2nd,West Indies
India, Bangladesh,Dhaka,win,2nd,India
New Zealand, Netherlands,Chattogram,win,2nd,New Zealand
South Africa, England,Chattogram,loss,first,South Africa
Pakistan, Bangladesh,Dhaka,win,first,Pakistan
India, Australia,Dhaka,loss,first,India
Netherlands, England,Chattogram,loss,first,Netherlands
Sri Lanka, New Zealand,Chattogram,loss,first,Sri Lanka
Australia, Bangladesh,Dhaka,loss,2nd,Australia
West Indies, Pakistan,Dhaka,win,first,West Indies
Sri Lanka, West Indies,Dhaka,win,first,Sri Lanka
India, South Africa,Dhaka,loss,2nd,India
Sri Lanka, India,Dhaka,win,2nd,Sri Lanka
Sri Lanka, England,The Oval,loss,first,Sri Lanka
New Zealand, West Indies,Roseau,win,2nd,New Zealand
West Indies, New Zealand,Roseau,loss,first,West Indies
England, India,Birmingham,win,first,England
